URL,Poet Name,Birth Year,Death Year,Extra Info
/wiki/Kelli_Russell_Agodon,Kelli Russell Agodon,1969,unknown,"Kelli Russell Agodon (born 1969), American poet"
/wiki/Drit%C3%ABro_Agolli,Dritëro Agolli,1931,unknown,"Dritëro Agolli (born 1931), Albanian poet"
/wiki/Delmira_Agustini,Delmira Agustini,1886,1914,"Delmira Agustini (1886–1914), Uruguayan poet"
/wiki/Ai_(poet),Ai,1947,2010,"Ai (Florence Anthony, 1947–2010), American poet"
/wiki/Ama_Ata_Aidoo,Ama Ata Aidoo,1940,unknown,"Ama Ata Aidoo (born 1940), Ghanaian novelist, poet, playwright and academic"
/wiki/Conrad_Aiken,Conrad Aiken,1889,1973,"Conrad Aiken (1889–1973), American poet and author"
/wiki/Aganice_Ainianos,Aganice Ainianos,1838,1892,"Aganice Ainianos (1838–1892), Greek poet"
/wiki/Akazome_Emon,Akazome Emon,956,1041,"Akazome Emon (956–1041), Japanese poet and historian"
/wiki/Mark_Akenside,Mark Akenside,1721,1770,"Mark Akenside (1721–1770), English poet and physician"
/wiki/Rachel_Akerman,Rachel Akerman,1522,1544,"Rachel Akerman (1522–1544), Austrian Jewish poet writing in German"
/wiki/Bella_Akhmadulina,Bella Akhmadulina,1937,2010,"Bella Akhmadulina (1937–2010), Russian poet"
/wiki/Anna_Akhmatova,Anna Akhmatova,1889,1966,"Anna Akhmatova (1889–1966), Russian poet"
/wiki/Jan_Nisar_Akhtar,Jan Nisar Akhtar,1914,1976,"Jan Nisar Akhtar (1914–1976), Indian Urdu poet"
/wiki/Javed_Akhtar,Javed Akhtar,1945,unknown,"Javed Akhtar (born 1945), Indian poet, lyricist and scriptwriter"
/wiki/Salman_Akhtar,Salman Akhtar,1946,unknown,"Salman Akhtar (born 1946), Indian American professor and poet writing in English and Urdu"
/wiki/Luigi_Alamanni,Luigi Alamanni,1495,1556,"Luigi Alamanni (1495–1556), Italian poet and statesman"
/wiki/Alasdair_mac_Mhaighstir_Alasdair,Alasdair mac Mhaighstir Alasdair,1698,1770,"Alasdair mac Mhaighstir Alasdair (c. 1698–1770), Scottish poet in Gaelic"
/wiki/Ave_Alavainu,Ave Alavainu,1942,unknown,"Ave Alavainu (born 1942), Estonian poet"
/wiki/Gillebr%C3%ADghde_Albanach,Gillebríghde Albanach,1200,1230,"Gillebríghde Albanach (fl. 1200–1230), Scottish Gaelic poet and crusader"
/wiki/Alcaeus_(comic_poet),Alcaeus,400 BC,unknown,"Alcaeus (4th c. BC), Athenian comic poet in Greek"
/wiki/Alcaeus_of_Messene,Alcaeus of Messene,300 BC,unknown,"Alcaeus of Messene (fl. late 3rd/early 2nd c. BC), Greek writer of verse epigrams"
/wiki/Alcaeus_of_Mytilene,Alcaeus of Mytilene,700 BC,unknown,"Alcaeus of Mytilene (7th–6th c. BC), Greek lyric poet from Lesbos"
/wiki/Allamraju_Subrahmanyakavi,Allamraju Subrahmanyakavi,1831,1892,"Allamraju Subrahmanyakavi (1831–1892), Indian Telugu poet"
/wiki/Guru_Amar_Das,Guru Amar Das,1479,1574,"Guru Amar Das (1479–1574), Punjabi poet and Sikh guru"
/wiki/Ammiel_Alcalay,Ammiel Alcalay,1956,unknown,"Ammiel Alcalay (born 1956), American poet, scholar and critic"
/wiki/Alcman,Alcman,700 BC,unknown,"Alcman (fl. 7th c. BC), Ancient Greek lyric poet"
